Metrica,Valor
Total de Partidas,1000000
Vitorias_X,0
Vitorias_O,0
Empates,1000000
Porcentagem_X,0.00
Porcentagem_O,0.00
Porcentagem_Empate,100.00
Media_Jogadas,9.00
Min_Jogadas,9
Max_Jogadas,9
Posicao_0_X,0
Posicao_1_X,0
Posicao_2_X,1000000
Posicao_3_X,1000000
Posicao_4_X,1000000
Posicao_5_X,0
Posicao_6_X,0
Posicao_7_X,1000000
Posicao_8_X,1000000
Posicao_0_X,0
Posicao_1_X,0
Posicao_2_X,1000000
Posicao_3_X,1000000
Posicao_4_X,1000000
Posicao_5_X,0
Posicao_6_X,0
Posicao_7_X,1000000
Posicao_8_X,1000000
Posicao_0_O,1000000
Posicao_1_O,1000000
Posicao_2_O,0
Posicao_3_O,0
Posicao_4_O,0
Posicao_5_O,1000000
Posicao_6_O,1000000
Posicao_7_O,0
Posicao_8_O,0
Vitoria_linha,0
Vitoria_coluna,0
Vitoria_diagonal,0
