Especialista X Aleatorio
Metrica,Valor
Total de Partidas,1000000
Vitorias_X,963411
Vitorias_O,0
Empates,36589
Porcentagem_X,96.34
Porcentagem_O,0.00
Porcentagem_Empate,3.66
Media_Jogadas,5.61
Min_Jogadas,5
Max_Jogadas,9
Posicao_0_X,875202
Posicao_1_X,101345
Posicao_2_X,290463
Posicao_3_X,72915
Posicao_4_X,1000000
Posicao_5_X,68058
Posicao_6_X,207946
Posicao_7_X,60025
Posicao_8_X,630680
Posicao_0_X,875202
Posicao_1_X,101345
Posicao_2_X,290463
Posicao_3_X,72915
Posicao_4_X,1000000
Posicao_5_X,68058
Posicao_6_X,207946
Posicao_7_X,60025
Posicao_8_X,630680
Posicao_0_O,124798
Posicao_1_O,336879
Posicao_2_O,271846
Posicao_3_O,333236
Posicao_4_O,0
Posicao_5_O,326786
Posicao_6_O,312115
Posicao_7_O,325524
Posicao_8_O,275450
Vitoria_linha,109097
Vitoria_coluna,41819
Vitoria_diagonal,812495
