Metrica,Valor
Total de Partidas,500000
Vitorias_X,2121
Vitorias_O,428611
Empates,69268
Porcentagem_X,0.42
Porcentagem_O,85.72
Porcentagem_Empate,13.85
Media_Jogadas,6.59
Min_Jogadas,6
Max_Jogadas,9
Posicao_0_X,156577
Posicao_1_X,225935
Posicao_2_X,183179
Posicao_3_X,222264
Posicao_4_X,55609
Posicao_5_X,221910
Posicao_6_X,192433
Posicao_7_X,221421
Posicao_8_X,202658
Posicao_0_X,156577
Posicao_1_X,225935
Posicao_2_X,183179
Posicao_3_X,222264
Posicao_4_X,55609
Posicao_5_X,221910
Posicao_6_X,192433
Posicao_7_X,221421
Posicao_8_X,202658
Posicao_0_O,265273
Posicao_1_O,77518
Posicao_2_O,214034
Posicao_3_O,76061
Posicao_4_O,444391
Posicao_5_O,68857
Posicao_6_O,198745
Posicao_7_O,68805
Posicao_8_O,196913
Vitoria_linha,62971
Vitoria_coluna,51510
Vitoria_diagonal,316251
